date_found,keyword_set,job_title,company,location,posted_date,url
2026-07-20,Playwright Remote (Dice),AI Test (QA) Lead Automation (Playwright),Zealogics,Remote,2026-07-18,https://www.dice.com/job-detail/3ac0aa26-9e88-48f1-8ae2-08de5e622eff
2026-07-20,Playwright Remote (Dice),QA Automation (UI) with Playwright (remote),Digitive LLC,Remote,2026-07-19,https://www.dice.com/job-detail/fe0ce447-8f6d-47cc-b02a-9f9228d9803e
2026-07-20,Playwright Remote (Dice),Looking for Automation QA (Playwright + D365 Finance),Xoriant Corporation,Remote,2026-07-19,https://www.dice.com/job-detail/87a2cb42-809e-40b6-b767-48fcfb32f63e
2026-07-20,Playwright Remote (Dice),Automation Tester - Playwright,Georgia IT,Remote,2026-07-19,https://www.dice.com/job-detail/2bed2a49-731e-4212-b706-a70f19204e08
2026-07-20,Playwright Remote (Dice),Automation QA Engineer - Playwright/Typescript,Randstad Digital,"Remote or Charlotte, NC",2026-07-17,https://www.dice.com/job-detail/587d10d0-8bbe-4bee-b158-1bf37a5f5bf8
2026-07-20,Playwright Remote (LinkedIn),QA Automation Engineer (SDET, Playwright & API),Intel 471,"Europe, Remote",2026-07-15,https://www.linkedin.com/jobs/view/qa-automation-engineer-sdet-playwright-api-europe-remote-at-intel-471-4441213414
2026-07-20,Selenium Remote (Dice),Sr. Automation Engineer (Java/Selenium),LTIMindtree,Remote,2026-07-19,https://www.dice.com/job-detail/26ff56d8-65f8-4810-b53c-89364c9f8337
2026-07-20,Selenium Remote (Dice),SDET (W2 Remote) with JAVA + SELENIUM + AWS,Prohires,Remote (USA),2026-07-19,https://www.dice.com/job-detail/b27954e4-3c39-4bf7-90a9-ed0d9bd2b461
2026-07-20,Test Automation Remote (Dice),Automation Test Engineer,Beacon Hill,Remote,2026-07-18,https://www.dice.com/job-detail/3f79a3c0-0b45-4057-99fd-9ba577161288
2026-07-20,Test Automation Remote (Dice),Test Automation Engineer,Damco Solutions Inc.,Remote,2026-07-19,https://www.dice.com/job-detail/f87d21a5-9677-41b1-bdbd-2e1ba6bb4ab8
2026-07-20,Test Automation Remote (Dice),Sr QA (Automation) Analyst,"Key Business Solutions, Inc.",Remote,2026-07-20,https://www.dice.com/job-detail/d9898dcf-f86e-4343-b8cf-407825002a4e
2026-07-20,Test Automation Remote (Dice),QA Automation Tester,GTSS Inc,Remote,2026-07-20,https://www.dice.com/job-detail/655b0b4b-f5f4-4fe6-91b8-0a36331739c5
2026-07-20,Test Automation Remote (Dice),Test Automation Engineer (SDET),ASSYST,Remote,2026-07-20,https://www.dice.com/job-detail/f807828f-42de-462d-9bc9-8d4cfa023b21
2026-07-20,Test Automation Remote (Dice),QA - Manual & Automation Tester,Merican Inc,Remote,2026-07-20,https://www.dice.com/job-detail/604a81a2-6dc6-4a62-9d06-d84b4d03be5a
2026-07-20,Test Automation Remote (ZipRecruiter),Sr. Test Automation Engineer,Planned Systems International,"Remote, US",2026-07-18,https://www.ziprecruiter.com/c/Planned-Systems-International/Job/Sr.-Test-Automation-Engineer/-in-Remote,US?jid=31ed120441049a65
2026-07-20,Test Automation Remote (LinkedIn),Test Automation / AI Quality Engineer (Remote role),Pentangle Tech Services | P5 Group,"Illinois, US",2026-07-16,https://www.linkedin.com/jobs/view/test-automation-ai-quality-engineer-remote-role-at-pentangle-tech-services-p5-group-4441497648
2026-07-20,Dynamics QA Remote (Dice),Dynamics 365 CE Analyst (QA, Business Analysis & Support),Taras Technology LLC,Remote,2026-07-20,https://www.dice.com/job-detail/649a4b0d-8b48-4b3f-8270-a4f0b9b466eb
2026-07-20,QA EHR (ZipRecruiter),Clinical Outcomes Specialist,"Leap Health, Inc","Remote, US",2026-07-13,https://www.ziprecruiter.com/c/Leap-Health/Job/Clinical-Outcomes-Specialist/-in-Remote,US?jid=74e0d0d0fbae62c2
